,nid,title,content,time,url,language,event
0,zhongGuoZhengFuWang-2019-05-10 12:22-0,        我国在南海海域首次发现多种稀有鲸豚种类      ,新华社三亚5月10日电（记者刘邓）历时14天、总航程约2500公里，“2019年中国科学院南海深潜鲸类科考”航次10日顺利返回三亚，这是我国也是全世界第一次在南海相应海域开展深潜和远海性鲸类科学考察。 科考人员在该海域发现和记录了抹香鲸、条纹海豚等多种稀有鲸豚种群，其中抹香鲸和喙鲸群体都观察到母子对，表明极有可能存在抹香鲸和喙鲸的定居群体。这些发现填补了南海鲸类尤其是南海深潜鲸类研究的空白。 航次首席科学家、中国科学院深海科学与工程研究所研究员李松海介绍，本次海上考察区域为海南岛东南海域陆坡区域，长度约400公里、宽度约200公里。目的是了解该区域深潜和远海性鲸类物种组成、空间分布和行为特征。科考队员一共目击到深潜和远海性鲸类动物27群次，其中可确定的深潜鲸类物种4种，分别为抹香鲸、柯氏喙鲸、短肢领航鲸、花纹鲸（瑞氏海豚）；远海性海豚物种3种，分别为热带斑海豚、条纹海豚、弗氏海豚。另有2个物种还有待进一步确定。 考察结果揭示南海海域目前拥有较高的深潜和远海性鲸类物种多样性，对今后进一步深入开展南海深潜鲸类研究、制定相应的生态保育措施以及发展鲸类保护性开发产业（如赏鲸业）等具有重要意义。,2019-05-10 12:22,http://www.gov.cn/xinwen/2019-05/10/content_5390292.htm,chinese,南海争端
1,zhongGuoZhengFuWang-2018-09-19 23:37-1,        美国对华升级关税措施无助于解决贸易争端      ,新华社华盛顿9月18日电 题：美国对华升级关税措施无助于解决贸易争端 新华社记者 高攀 朱东阳 不顾国际国内绝大多数反对意见，美国政府日前宣布自24日起对约2000亿美元中国输美产品加征10%的关税，并将采取其他关税升级措施。为了维护自身正当权益和全球自由贸易秩序，中方将不得不同步进行反制。 一些白宫经济政策顾问建议美国政府升级对华关税措施的一大理由是，他们认为关税已经“打痛”中国经济，继续升级关税举措将令中国经济承受更大压力，从而逼迫中国作出更大让步，谋求更多不合理的美国利益。这种一厢情愿的看法严重低估了中国经济的实力和韧性，也缺乏对中国政策立场的了解。 目前对外贸易占中国整体经济的比重已逐年下降，国内消费对中国经济增长的基础性作用正不断巩固。今年上半年中国经济同比增长6.8%，在世界主要经济体中增速位于前列；其中消费对经济增长的贡献率达到78.5%，比上年同期提高了14.2个百分点，中国经济的内生动力和韧性进一步增强。 与此同时，中国政府正继续稳步推进改革开放，大力改善营商环境，并采取各种有效措施稳定市场信心和预期。中国稳定的投资环境、较强的配套能力、巨大的消费市场、公平透明的政策仍是吸引全球企业的关键因素。这也是中国坚决反对单边主义和贸易保护主义、捍卫自身合法权益的信心和底气。 美国锡拉丘兹大学经济学教授玛丽·洛夫利认为，当前中方对美反制措施得当，不仅避免了美方采取的打击全球价值链和产业链的做法，采取措施缓解了国内企业在贸易摩擦中受到的影响，还宣布了一系列扩大开放的重大举措。在她看来，当美国政府执意推进关税计划给跨国企业带来不确定性时，中国的最好应对方式就是进一步推动贸易和投资自由化，让中国继续成为吸引外国企业投资的热土。 继美国电动汽车公司特斯拉此前宣布在上海投资设厂后，美国最大石油公司埃克森美孚近期也宣布将在广东建设大型独资石化项目。这些外资企业的投资决策，无疑是对中国经济、营商环境和改革开放前景投出的信任票。 国际有识之士指出，美国政府升级对华关税措施不仅无助于解决美中贸易争端，反而会损害美国企业和消费者利益，危及美国自身经济和就业，更会给世界经济增添下行风险。 美国行动论坛发布的一份研究报告显示，在将被美方加征关税的约2000亿美元中国输美产品中，约70%的产品是用于美国国内生产的，约98%的产品与美国制造业息息相关，对这些产品加征关税将大幅增加美国企业和消费者的成本，削弱美国制造业的竞争力。 这正是美国150家行业协会本月初联合致信美国贸易代表，呼吁不要对更多中国输美商品加征关税的重要原因。这些行业协会代表美国制造商、农民、零售商、科技企业、天然气和石油公司、进口商、出口商和其他供应链利益攸关方，涵盖美国经济的方方面面。 上周，80多家美国行业协会又宣布联合成立支持自由贸易美国人联盟，并与支持自由贸易农场主联盟共同发起一项名为“关税伤害美国腹地”的全国性游说行动。遗憾的是，美国政府并未听取这些业界警告和民意呼声，执意继续推进“有害关税政策”。 美国国会负责监督贸易政策的参议院财政委员会主席奥林·哈奇直言，“关税不是每个贸易问题的解决方案”。华盛顿智库彼得森国际经济研究所所长亚当·波森也认为，美国政府加征关税的策略注定会失败。 在前美国财政部长雅各布·卢看来，建设性接触、寻求共识、缩小分歧仍然是解决美中经贸问题的最佳方式，美中两国可以通过合作在全球议题和双边经贸关系上取得进展。,2018-09-19 23:37,http://www.gov.cn/xinwen/2018-09/19/content_5323732.htm,chinese,南海争端
2,zhongGuoZhengFuWang-2018-10-12 21:52-2,        专访：缓和贸易争端是全球经济当务之急——访IMF副总裁张涛      ,新华社华盛顿10月12日电 专访：缓和贸易争端是全球经济当务之急——访IMF副总裁张涛 新华社记者 高攀 国际货币基金组织（IMF）副总裁张涛日前接受新华社记者专访时表示，当前全球经济面临的最重要风险是贸易紧张局势加剧，各经济体应共同努力缓和与解决当前贸易争端，并推动全球贸易体系现代化，更好发挥贸易在提高生产率、推动全球经济增长等方面的关键作用。 在本周发布的最新《世界经济展望》报告中，IMF将2018年和2019年世界经济增速预期从此前预计的3.9%下调至3.7%。张涛对此表示，不可忽视的事实是，目前全球经济增长仍然处于2011年以来的最高水平，但“全球经济扩张已进入平台期，各国经济增长并不均衡”。 张涛指出，令人担忧的是，IMF之前警示的一些风险已开始出现，“最为重要的是贸易紧张局势加剧”，针锋相对的关税措施会对全球经济造成负面影响，阻碍贸易在提高生产率、促进新技术传播和减少贫困方面发挥关键作用。 他表示，《世界经济展望》报告对贸易摩擦影响的模拟分析显示，如果目前宣布的所有加征关税措施生效，到2020年全球经济产出将比基准情形减少0.8%以上，缓和当前贸易争端是全球经济迫在眉睫的挑战之一。 “第二次世界大战结束后确立的贸易规则体系促进了全球经济前所未有地增长，帮助数以亿计的民众脱贫，但它需要更新。我们应该修复这一体系，而不是抛弃。这也是我们必须共同努力缓和与解决当前贸易争端的原因。”张涛说。 他建议各国政府通过双边、多边层面建设性磋商解决贸易分歧，并共同更新贸易规则，推动全球贸易体系的现代化，确保贸易更加开放和公平，包括考虑加强知识产权保护执法、确保有效竞争、全面释放电子商务和其他可贸易服务的潜力等。 张涛指出，IMF一直倡导全球经济一体化的重要性，国际贸易和互联互通提高了全球人民的生活水平；但许多国家，特别是发达经济体，对贸易和技术变化的不满也日益增加。 为此，他建议各国政府通过提供就业援助、培训、薪资保险、终生学习等措施，为遭受贸易和技术变化负面影响的个人和社区提供更多帮助，解决收入不平等程度扩大、就业岗位消失等问题，确保贸易的福利在一国国内被广泛分享。 除贸易紧张局势外，张涛认为，全球经济也面临美国货币政策继续收紧对新兴市场造成压力、全球债务水平高企等风险。IMF最新发布的《财政监测报告》显示，全球非银行业的公共和私人部门债务总额已达到182万亿美元，相当于2007年水平的1.5倍，同时超过40%的低收入经济体面临陷入债务困境的风险。 谈到美联储加息对新兴市场的影响，张涛说，虽然不少新兴市场通过政策调整、增强了适应美联储加息带来的金融环境收紧的能力；但也有一些国家因为政策调整尚未到位，可能面临较大压力；还有少数经济体面临投资者信心恶化、资本外流等问题。 他表示，IMF建议新兴市场和发展中经济体通过建立财政缓冲、采取合适的货币政策、允许汇率浮动吸收一些压力等措施增强对意外冲击的防御能力。他提醒，一些新兴经济体需要解决企业债务高企的问题，从长期来看，采取结构性改革提高生产率和鼓励技术创新也很重要。 回顾2008年全球金融危机后的金融监管改革，张涛认为，当前全球金融体系比十年之前更加安全，但还“不足够安全”。他说，危机之前许多存在于银行、抵押贷款市场等金融体系的脆弱性已显著降低，但金融监管改革的任务尚未完成，我们看到一些与资金杠杆相关的风险转移到非金融行业和监管较少的机构。 张涛认为，此次金融危机的核心教训之一是保持警觉的重要性，应对目前经济和金融体系中的脆弱性保持警惕，因为这些脆弱性可能会被放大成为金融稳定的威胁。同时，决策者必须适应新挑战和可能随之带来的脆弱性，解决监管套利、金融科技、网络风险等问题。 谈到IMF份额和治理改革，张涛说，IMF董事会已呼吁执董会在2019年春季会议之前、不晚于2019年秋季年会，完成第十五次份额总检查工作。此次份额检查将建立在IMF2010年份额和治理改革取得重大成果的基础上，当时的改革大幅提升了中国等新兴经济体在IMF的话语权。,2018-10-12 21:52,http://www.gov.cn/xinwen/2018-10/12/content_5330055.htm,chinese,南海争端
3,zhongGuoZhengFuWang-2019-02-07 21:38-3,        “南海救115”轮的新年值守      , “南海救115”轮驶入永兴岛码头（2月4日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  “南海救115”轮驶入永兴岛码头（2月4日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  “南海救115”轮驶入永兴岛码头后靠岸停泊（2月4日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  在永兴岛码头，“南海救115”船员在清洗甲板（2月4日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  “南海救115”轮停靠在永兴岛码头进行海上值守（2月5日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  “南海救115”轮停靠在永兴岛码头进行海上值守（2月5日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。,2019-02-07 21:38,http://www.gov.cn/xinwen/2019-02/07/content_5364290.htm,chinese,南海争端
4,zhongGuoZhengFuWang-2019-02-07 21:38-4,        “南海救115”轮的新年值守      , “南海救115”轮驶入永兴岛码头（2月4日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  “南海救115”轮驶入永兴岛码头（2月4日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  “南海救115”轮驶入永兴岛码头后靠岸停泊（2月4日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  在永兴岛码头，“南海救115”船员在清洗甲板（2月4日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  “南海救115”轮停靠在永兴岛码头进行海上值守（2月5日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。 新华社记者 杨冠宇 摄  “南海救115”轮停靠在永兴岛码头进行海上值守（2月5日摄）。 春节期间，交通运输部南海救助局的“南海救115”轮在西沙海域开展海上值守，船上有22名船员坚守岗位，在祖国南海上度过了一个特殊的春节。,2019-02-07 21:38,http://www.gov.cn/xinwen/2019-02/07/content_5364290.htm,chinese,南海争端
5,zhongGuoZhengFuWang-2018-10-18 22:10-5,        中国-菲律宾南海问题双边磋商机制第三次会议联合新闻稿      ,新华社北京10月18日电  中国-菲律宾南海问题双边磋商机制第三次会议联合新闻稿 中国-菲律宾南海问题双边磋商机制(BCM)第三次会议于2018年10月18日在北京举行。中国外交部副部长孔铉佑与菲律宾外交部副部长马纳罗分别率团出席，双方代表团由两国外交部和相关部门相应官员组成。 双方认为，BCM机制作为双方定期的密切对话平台，在促进双边关系稳定发展上发挥了重要作用。双方通过这一渠道处理分歧，防止并妥善管控海上意外事件，并不断增进海上对话与合作。 双方就当前南海有关问题和各自关切坦诚、友好地交换意见，探讨对双方都有利的处理相关问题的途径，重申继续开展合作，商谈促进互信与信心的措施。双方认为此次会议气氛热烈、成果丰硕。 在2017年11月16日中菲联合声明指导下，双方重申海上争议问题不是中菲双边关系的全部，同意双边关系的发展应造福两国人民，并对地区和平、稳定与发展做出贡献。 双方相信，妥善管控南海有关争议对维护地区和平稳定至关重要。双方重申南海航行和飞越自由的重要性、国际商贸自由原则和其他对海洋的和平使用原则；将根据《联合国宪章》和1982年《联合国海洋法公约》等国际法中公认的原则，由直接有关主权国家，通过友好磋商和谈判，以和平方式解决领土和管辖权争端，保持自我克制，不诉诸武力或以武力相威胁。 双方认为，包括中国-东盟对话关系、东盟地区论坛、东亚峰会等在内的其他多边平台对促进地区和平稳定至关重要。双方重申致力于全面有效落实2002年《南海各方行为宣言》，并同意与其他东盟国家密切合作，早日就“南海行为准则”达成共识。 双方通过BCM下设技术工作组会，就加强海上合作的路径进行了富有成效的交流，相关合作领域涵盖影响南海政治安全的近期发展、海上搜救、海事安全、海洋环保、海洋科研、渔业等。在不影响两国各自关于主权、主权权利和管辖权立场的前提下，双方还探讨了海上油气联合勘探和开发合作。,2018-10-18 22:10,http://www.gov.cn/xinwen/2018-10/18/content_5332235.htm,chinese,南海争端
6,zhongGuoZhengFuWang-2018-10-29 20:00-6,        王毅：承担共同责任，维护南海和平稳定      ,新华社菲律宾达沃10月29日电（记者 袁梦晨 王羽）2018年10月29日，国务委员兼外交部长王毅在达沃与菲律宾外长洛钦会谈后共同会见记者。有记者问中方对未来南海局势的预期和看法。 王毅表示，这些年每次和菲律宾朋友见面，都会谈到南海问题，但现在与过去的感觉已完全不同。在中菲两国领导人引领下，通过双方的努力，南海形势日益趋向稳定好转。当事国回到通过对话协商妥善处理分歧的正确轨道，中国和东盟国家共同维护着南海的和平稳定。本月，中菲成功召开了一系列涉南海问题双边会议。近日中国同东盟国家新一轮落实《南海各方行为宣言》高官会完成了对“南海行为准则”草案部分内容的第一轮审读。应该说，“准则”磋商已步入了快车道。菲方作为中国－东盟关系协调国，为此发挥了重要和积极作用，我们对此表示赞赏。 王毅表示，南海和平稳定符合地区国家共同利益，是我们的共同愿望，更是我们应该担负起的共同责任。下一步，我们愿同包括菲律宾在内的东盟国家一道，做好以下几方面工作，进一步巩固当前的良好态势。 一是推动海上合作取得新的突破。中方愿与菲律宾以及其他南海沿岸国加强在环保、科考、渔业、搜救等各个领域的务实合作，以此增进彼此信任，造福各国人民。中方愿同菲律宾继续探讨南海油气共同开发。搁置争议、共同开发是中国领导人邓小平32年前向菲律宾领导人提出的富有政治智慧的设想。如果我们能在不影响各自主权声索的前提下实现共同开发，不但将帮助菲律宾缓解今后可能发生的能源短缺问题，也将为中菲妥善处理有关争议找到一条现实出路，并为其他南海沿岸国开展此类合作提供良好范例。 二是建立并完善海上联络渠道的机制化。当前，中菲双方海上互动越来越多，我们应努力把这些好的做法和经验机制化。两国海警已经建立了热线，正在商谈建立海空联络机制。相关机制可以有效避免误判，防止发生海空意外事件。同时，中方也愿同其他声索国建立类似机制，加强联络沟通，及时处置可能发生的紧急事态。 三是积极加快“南海行为准则”磋商进程。对于“准则”磋商，中方的立场非常明确：首先，我们的态度是积极的。中方愿同东盟各国一道，加快“准则”磋商进程，期待在菲律宾担任协调国期间完成磋商，尽早建立起这一致力于确保南海和平稳定的地区规则。第二，我们的态度是开放的。中方对“准则”中写入哪些具体内容持开放态度，欢迎磋商各方在业已形成的单一文本框架内提出各种建设性意见，在协商一致基础上最大限度地凝聚共识。 王毅最后指出，还有很重要的一点，就是我们要共同防范和抵御来自外部的各种干扰。在中菲双方以及南海各沿岸国共同维护南海和平、促进互利合作的时候，一些域外国家却同我们的努力背道而驰，不断在南海挑动是非、兴风作浪，肆意在这片海域炫耀武力。地区各国对此应保持高度警惕，继续加强团结协作，共同把南海真正建设成和平之海、友谊之海、合作之海，不让任何外部势力有可乘之机。,2018-10-29 20:00,http://www.gov.cn/guowuyuan/2018-10/29/content_5335613.htm,chinese,南海争端
7,zhongGuoZhengFuWang-2018-09-28 10:25-7,        国防部新闻发言人就南海问题等答记者问      ,新华社北京9月27日电（记者 梅世雄）国防部新闻发言人任国强27日在国防部例行记者会上，就南海问题、征兵工作、国际狙击手射击竞赛等答记者问。 中国军队坚决反对英法等域外国家跑到南海来无事生非 有记者问，近期，英国在南海开展航行自由行动，中方对美盟友在南海开展类似行动是否表示担忧？如果类似行动继续发生，中方将如何应对？中国对美盟友开展这类行动有何应对措施？ 任国强说，一段时间以来，在中国和东盟国家的共同努力下，南海局势趋稳向好，充分说明域内国家有智慧、有能力、有办法妥善处理好南海问题。但是“树欲静而风不止”，英、法等一些域外国家对南海和平稳定的形势视而不见，执意炒作“航行自由”这个伪命题，无事生非，跑到南海来，妄图从中渔利，对此中国军队坚决反对。 任国强说，中国尊重并维护各国依据国际法在南海享有的航行和飞越自由，但坚决反对有的人打着“航行自由”的幌子，行违法挑衅之实。必须指出，南海不是个别国家“刷存在感”的地方。中国军队将坚定履行防卫职责，加大海空巡逻警戒力度，坚决捍卫国家主权安全，坚定维护南海和平稳定。 大学生应征报名和入伍人数实现双增长 任国强说，今年以来，各级党委、政府和兵役机关，认真贯彻习主席给南开大学入伍学生回信精神，坚决落实国务院、中央军委征兵命令，扎实做好兵役登记，严格组织体检政考，征兵工作顺利推进，目前看能够圆满完成征兵任务。 今年的征兵工作主要有四个特点：一是全国广大适龄青年积极响应国家号召，参军报国热情持续高涨；二是大学生应征报名和参军人数实现“双增长”，兵员结构进一步优化，质量不断提高；三是各地纷纷出台参军优惠激励政策，全社会尊崇军人职业氛围进一步浓厚；四是深入推进依法治军从严治军，坚持廉洁征兵、规范征兵，确保征兵工作依法依规、有力有效。 武警部队将举办第二届“锋刃”国际狙击手射击竞赛 任国强透露，10月18日至22日，武警部队将在北京高岭训练基地举办第二届“锋刃”国际狙击手射击竞赛。竞赛主题是“实战、精英、高难”，包括近距离精准狙击、解救人质狙击、对抗狙击、综合战斗等课目。今年将邀请上合组织成员国、“一带一路”沿线国家和实战经验丰富的约20个国家军警宪同类部队派员参赛。我陆军、海军、空军特种部队也计划派员参赛。 中俄合帐练兵提高共同应对各种安全威胁能力 有记者问，本月下旬，参加“东方-2018”战略演习的中方部队已经全部回国归建。请问中方首次参加演习有何收获？未来中俄战略演习会不会常态化？ 任国强说，这次中国军队赴俄参加演习，是中国军队历史上派兵出境参加演习人数最多、规模最大的一次。演练充分释放深化国防和军队改革的效能，中俄两军合帐练兵、互学互鉴，通过统一行动、联合作战，进一步加深了友谊，深化了互信，促进了合作，维护了和平，也提高了两军联合行动维护地区和平与安全、应对各种安全威胁的能力。总的看，这次中方参加俄罗斯的战略演习，达到了预期的目的，部队的表现是令人满意的。 任国强说，中俄全面战略协作伙伴关系的突出特点是坚持不结盟、不对抗、不针对第三方。此次中国军队赴俄参演主要目的是巩固发展中俄全面战略协作伙伴关系，深化两军务实友好合作，进一步增强两军共同应对各种安全威胁的能力，有利于维护地区的和平稳定，不针对第三方，也与地区局势无关。 任国强表示，近年来，中俄两军在双边和上合组织框架内举行联合军事演习训练已经机制化、常态化了。关于中国军队下一步是否常态化参加俄方战略演习，这需要根据安全需求，由中俄双方共同协商确定。,2018-09-28 10:25,http://www.gov.cn/xinwen/2018-09/28/content_5326226.htm,chinese,南海争端
8,zhongGuoZhengFuWang-2018-08-23 11:00-8,        美联储警告贸易争端升级将威胁美国经济      ,新华社华盛顿8月22日电（记者 杨承霖 高攀）美国联邦储备委员会22日公布的货币政策例会纪要显示，美联储官员认为国际贸易争端升级将构成重大经济下行风险。 纪要显示，美联储官员一致认为，当前贸易争端和美国政府提出的贸易政策已成为经济风险和不确定性的重要来源。如果爆发大规模、长时间贸易争端，将对市场信心、投资支出和就业造成不利影响。此外，对进口产品广泛加征关税还将削弱美国家庭的购买力，并带来生产率下降、供应链中断等负面影响。 纪要说，当前美国贸易政策的不确定性已导致部分美国企业缩减或推迟投资计划。如果贸易紧张局势短期未见好转，将会有更多企业减少资本投入和招聘。在农业领域，受贸易紧张局势影响，部分种植业和畜牧业产品价格显著下跌。 纪要还显示，如果未来经济数据继续向好，美联储可能进一步加息。但美联储官员也警告，国际贸易争端升级将对美国实体经济构成重大下行风险，并给美联储货币政策带来挑战。,2018-08-23 11:00,http://www.gov.cn/xinwen/2018-08/23/content_5315882.htm,chinese,南海争端
9,zhongGuoZhengFuWang-2018-10-16 19:37-9,        中菲南海问题双边磋商机制第三次会议将在华举行      ,新华社北京10月16日电（记者 侯晓晨）外交部发言人陆慷16日表示，中菲南海问题双边磋商机制第三次会议将于10月18日在华举行。 在当日例行记者会上，有记者问：中国和菲律宾涉海交流广受关注，请问中菲南海问题双边磋商机制近期有何进展？ 陆慷表示，在中菲两国领导人的关心下，双方于2017年初正式建立了南海问题双边磋商机制，重回通过谈判协商解决海上有关问题的正轨。双方通过这一平台妥善处理分歧，防止并管控海上意外事件，推进海上务实合作，取得积极进展。 “经双方商定，中菲南海问题双边磋商机制第三次会议将于10月18日在华举行。”陆慷说，中国外交部副部长孔铉佑与菲律宾外交部副部长马纳罗将分别率团出席，双方国防、自然资源与环境保护、渔业、交通运输、能源和海警部门等代表将与会。,2018-10-16 19:37,http://www.gov.cn/xinwen/2018-10/16/content_5331354.htm,chinese,南海争端
10,zhongGuoZhengFuWang-2018-10-29 19:42-10,        “南海救115”轮完成南沙岛礁值守任务 顺利轮换      ,新华社三亚10月29日电（记者王丽婧、朱雨博）29日，交通运输部南海救助局专业海洋救助船“南海救115”轮圆满完成驻南沙岛礁常态化救助值班任务，顺利返回三亚。 作为首次进驻南沙岛礁的我国海上专业救助力量，“南海救115”轮在三个多月的值守期间，共出动7次救助任务，完成沉船清障、遇险渔船拖带、搁浅船守护等行动，成功救助遇险人员4名。 为提升在南沙边远海区海上救助应急处置能力，“南海救115”轮在进驻前做了大量的针对性维护工作，加配了适宜长距离拖带的高强度尼龙缆，更换了全新的海水制淡装置。此外，首次增派驻船的5名应急队员携带有减压舱等专业潜水装备随船，他们具备60米应急潜水能力，能够对水下救助险情进行有效处置，并可为海区渔民突发潜水病提供紧急救助。 “南海救115”轮政委程鹏说：“此次‘南海救115’轮进驻南沙值守，全体船员克服了高温、高湿、高盐、高紫外线等诸多困难，完成了包括救助‘桂北渔15878’等行动，保障了重要海域的海上人身和船舶航行安全。” “南海救115”轮是我国自行设计建造的现代化专业海洋救助船舶，主机功率达到9000KW，能在9级海况（14米浪高、12级风力）条件下出动，能在6级海况（6米浪高、9级风力）条件下实施救助。 “南海救115”轮自2010年投入使用以来，常年驻守南海，在海上人命救助以及其他自然灾害、事故灾难的应急救援中发挥了积极作用，截至2018年10月29日，共救助遇险人员1100余人。,2018-10-29 19:42,http://www.gov.cn/xinwen/2018-10/29/content_5335525.htm,chinese,南海争端
11,zhongGuoZhengFuWang-2018-10-16 18:58-11,        外交部敦促美方停止在南海问题上挑事生非、制造紧张      ,新华社北京10月16日电（记者 侯晓晨）外交部发言人陆慷16日在例行记者会上敦促美方停止在南海问题上挑事生非、制造紧张，尊重地区国家通过谈判磋商解决问题的努力，停止损害中方主权和安全利益。 有记者问：美国领导人日前讲话声称中国在南海进行“军事化”，还对正在执行“航行自由”的美军舰实施“鲁莽骚扰”。中方对此有何进一步评论？ 陆慷表示，美方的言论完全是倒打一耙。 他说，中国对南海诸岛及其附近海域拥有无可争辩的主权。中国在自己的领土上开展和平建设活动，包括部署必要的防御设施，是行使国际法赋予主权国家的自保权和自卫权，与“军事化”无关。 “南海地区的航行和飞越自由根本不存在任何问题。美方打着‘航行和飞越自由’的旗号，频繁派军舰军机到南海抵近中国南海岛礁，擅自闯入中国西沙群岛领海，这才是在制造紧张、搞‘军事化’。”陆慷说。 “至于美方所谓中国军舰对美国军舰实施‘鲁莽骚扰’，中国军方已介绍了真实情况。美国军舰‘长途跋涉’地跑到中国家门口生事，却指责中国军舰‘鲁莽骚扰’，这样的逻辑难道不可笑吗？”他说。,2018-10-16 18:58,http://www.gov.cn/xinwen/2018-10/16/content_5331336.htm,chinese,南海争端
